Model,Type,Accuracy (%),Macro F1 (%),Training Time (s),Parameters,Parameters (M)
ENSEMBLE (Soft Voting),Ensemble,99.72085385878489,99.63987236050275,N/A,,Combined
convnext_attention,Attention-Enhanced,99.54022988505747,99.34923702828824,1977.5128936767578,,28.45
convnext_tiny,Original,99.54022988505747,99.32029197981258,1326.4183642864227,N/A,
efficientnet_attention,Attention-Enhanced,99.49096880131363,99.2921575834809,994.3345713615417,,5.00
resnet18_attention,Attention-Enhanced,99.3103448275862,99.29326870063932,659.5597488880157,,11.38
resnet18,Original,99.24466338259442,98.86838195132479,439.97139263153076,N/A,
lightweight_cnn,Original,98.52216748768473,98.18529096768489,618.4992351531982,N/A,
efficientnet_b0,Original,98.4072249589491,97.997035426074,540.0866022109985,N/A,
mobilenetv3,Original,93.82594417077176,93.80981369631586,425.9623100757599,N/A,
vit,Original,93.08702791461411,91.92986381946402,1356.4430696964264,N/A,
hybrid_cnn_transformer,Original,64.38423645320196,64.90057010415914,683.2036662101746,N/A,
